nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret cikajang. f4o3,3.8,33,-6.2394178,106.8107532,"1, jl. cikajang no.1, rt.1/rw.5, petogogan, kota jakarta selatan",ChIJC8mjQGfxaS4RkOquMhj4bMM,1312.6151599005482
indomaret menara kuningan,5,2,-6.2186328,106.8300399,"6, jl. denpasar no.7, rt.6/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJX77vnO3zaS4RglK4CERSUh4,2165.9071240826283
indomaret,4,1,-6.2460531,106.8074507,"jl. wijaya iv no.73, rt.10/rw.1, petogogan, kota jakarta selatan",ChIJLaYz6kXxaS4R23ofLaT83us,1950.9784451426951
indomaret duren tiga raya. tuoi,4,27,-6.2534709,106.8404797,"jalan duren tiga barat no.32, rt.1/rw.1, duren tiga, pancoran, rt.1/rw.1, pancoran, kota jakarta selatan",ChIJkzb3EMrzaS4RXv7xWnaXfb8,2758.835290425468
indomaret guru mughni,4.1,41,-6.2269641,106.8213717,"jalan guru mughni no. c4, karet semanggi, setiabudi, rt.5/rw.2, karet semanggi, rt.5/rw.2, karet semanggi, kota jakarta selatan",ChIJ4T8PLOPzaS4RQDVcYaC-IGg,1066.1363385803443
indomaret,2.3,3,-6.248328,106.8240323,"jl. mampang prapatan vii no.1, rw.3, tegal parang, kota jakarta selatan",ChIJJXUTrNDzaS4RJSFdr933enM,1328.4637975516725
indomaret point,0,0,-6.2440509,106.8161762,"jl. bangka raya no.25, rw.2, pela mampang, kota jakarta selatan",ChIJNW2A01zxaS4RylvPeD8BOB4,1074.9404829339837
indomaret plus,4,88,-6.2212663,106.8270455,"jl. karet pedurenan no.68a, rt.9/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJFwAAAPnzaS4RSejras5dRMU,1775.6837658035956
indomaret kemang utara. tc87,4.4,18,-6.2541381,106.8269373,"jl. kemang utara ix no.1, rt.2/rw.5, duren tiga, kota jakarta selatan",ChIJhxAVNdLzaS4RE36ihgryocM,2027.0050619769681
indomaret,0,0,-6.247488499999999,106.8149378,"jl. bangka iig no.11, rw.11, pela mampang, kota jakarta selatan",ChIJ-bHiAPTxaS4RQJ3di8P7F2g,1464.7405375115911
indomaret point mrt istora mandiri,3.7,6,-6.2225424,106.8086237,"istora mrt station, jl. jenderal sudirman, rt.1/rw.3, gelora, central jakarta city",ChIJQc2OjQzxaS4RfqiyqqO_NCw,2164.5976335258074
indomaret pancoran barat 7 tfpc,4.8,8,-6.251975799999999,106.8368081,"jl. pancoran barat vii no.9a, rt.8/rw.1, duren tiga, kota jakarta selatan",ChIJEYrs5dDzaS4RJRZWtIRczmM,2354.156217479498
indomaret pancoran 7,4.1,31,-6.2497874,106.8365148,"jl. pancoran barat vii, rt. 013 / rw. 006, pancoran, mampang prapatan, rt.12/rw.6, pancoran, kota jakarta selatan",ChIJY3w000zyaS4RJpAudy3L5V4,2158.9777690722904
indomaret point,3.3,3,-6.2331067,106.8230684,"patra jasa, jl. gatot subroto, rt.6/rw.3, kuningan, kuningan tim., kota jakarta selatan",ChIJpbNXVUrzaS4Rt_lHfKPzCKM,388.8928320719027
indomaret dan fotocopi,5,1,-6.2393471,106.8107088,"qr66+777, rt.1/rw.5, petogogan, south jakarta city",ChIJeSJcQGfxaS4RjSDS5V3D1ZY,1315.4658169296554
indomaret itc kuningan,0,0,-6.2235581,106.8259947,"jl. prof. dr. satrio no.18, rt.11/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJDW3h1JDzaS4R8CQ1sNCxq94,1498.2293418803522
indomaret pedurenan,4.4,99,-6.2222333,106.8261754,"jl. pedurenan masjid iii no.50, rt.8/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJjyTKfPnzaS4RmgahJeqJgd8,1645.4846455933844
indomaret tegal parang 2. ts86,3.9,33,-6.2441983,106.8324248,"jl. tegal parang utara no.35, rt.7/rw.4, mampang prpt., kota jakarta selatan",ChIJF1D19sTzaS4Rw9CnBydlgJM,1411.5433085557231
indomaret mampang 8. t5wi,3.9,17,-6.2477205,106.8306366,"jalan mampang prapatan viii, rt.03 / rw.02, tegal parang, mampang prapatan, rt.3/rw.2, tegal parang, kota jakarta selatan",ChIJ_xUj9s_zaS4RuolU_sbnxqY,1552.5443931942152
indomaret,4.4,243,-6.2518104,106.8145478,"jl. bangka raya no.105, rt.1/rw.12, pela mampang, kota jakarta selatan",ChIJ0dTG_nzxaS4RT0V7owX_qpg,1902.9669449117116
indomaret pancoran barat 34,0,0,-6.251983999999999,106.8367253,"jl. pancoran barat vii no.34, rt.8/rw.6, duren tiga, kota jakarta selatan",ChIJncPt8wXzaS4RDxKhwvnyVpg,2348.5828946688102
indomaret birah senayan,4.1,168,-6.2353007,106.8152731,"no.13, jl. birah i no.1, rt.5/rw.6, rw. bar., kota jakarta selatan",ChIJkYWOBl_xaS4RmTTy6oeqFXc,784.2240521756075
indomaret wisma staco,5,2,-6.2246197,106.8401752,"wisma staco, jl. raya casablanca no.4, rt.4/rw.12, menteng dalam, kota jakarta selatan",ChIJTYdPFlzzaS4R4JoaMHSAiPY,2380.9534634857882
indomaret tegal parang. t986,4.1,9,-6.2464648,106.8322217,"qr3j+cw7, jl. tegal parang, rt.7/rw.5, tegal parang, kota jakarta selatan",ChIJezNcc8XzaS4RsQx_12LcMCA,1561.0515977866373
indomaret ciputat raya 2a -b,0,0,-6.239546799999999,106.8263501,"jl. kapten tendean no.34, rt.9/rw.2, kuningan bar., kota jakarta selatan",ChIJR3Z58xPzaS4Rv46cCQ_1uvk,563.9977833848869
indomaret bangka raya,4.6,18,-6.245269400000001,106.8158177,"jl. bangka raya no. 30, rt. 02 / 02, pela mampang, bangka, rt.11/rw.11, pela mampang, kota jakarta selatan",ChIJETmoJH3xaS4R8_bMnW8Vt74,1206.6199073265802
indomaret pondok jaya mampang,4.4,111,-6.2494907,106.8214751,"jl. pondok jaya vi no.6, rt.6/rw.6, pela mampang, kota jakarta selatan",ChIJf2NThW7zaS4RXQqG3ssDz7w,1445.8896133129865
indomaret kemang mampang tjkc,3.4,16,-6.2555529,106.8123381,"jl. kemang raya no.15, rt.13/rw.1, bangka, kota jakarta selatan",ChIJN7p70X7xaS4R6VpOujMI_Wo,2384.6561815953064
indomaret bangka 2b,4.4,293,-6.242254099999999,106.8196646,"jl. bangka ii no.12, rt.5/rw.9, pela mampang, kota jakarta selatan",ChIJR_R8Od_zaS4RTFXXRKEDqVo,700.1883987353165
indomaret plaza festival,3.4,10,-6.2212209,106.8328964,"qrhm+g56, rt.2/rw.5, karet kuningan, south jakarta city",ChIJMUTCa23zaS4RHTh8p6ntkmM,2066.9692000717214
indomaret plus rasamala,4.1,61,-6.2336278,106.8395619,"jl. rasamala raya no.26, rt.7/rw.9, menteng dalam, kota jakarta selatan",ChIJtaqqauvzaS4RnSCep_ghRMM,1938.9201293634396
indomaret direktorat jenderal pajak,4.6,7,-6.2255721,106.8163936,"kompleks kantor pusat djp basement 1, jend. gatot subroto kav 40-42, senayan, kebayoran baru, rt.7/rw.1, senayan, kota jakarta selatan",ChIJdfevp1fxaS4RnmGonsjjpmU,1378.5496845103353
indomaret dr satrio 289,4.6,13,-6.2177327,106.8196168,"jalan professor doktor satrio no.289, karet kuningan, setiabudi rt.1/rw.1, kuningan, rt.1/rw.1, kuningan, karet kuningan, south jakarta city",ChIJf1IrAD3zaS4RP2uQZVJc8jY,2108.446612844468
indomaret,4.3,3,-6.2167127,106.8127242,"qrm7+835, rt.5/rw.2, bendungan hilir, central jakarta city",ChIJTQh2UKv2aS4RKQet6SZxwrg,2440.9423532994747
indomaret hasanudin 57,4,4,-6.2425243,106.8022062,"jl. sultan hasanudin no.53, rt.2/rw.1, melawai, kota jakarta selatan",ChIJ-ZfljI_xaS4RYqEvAOKUxi0,2315.5881734573563
indomaret fresh,4.6,46,-6.243758199999999,106.8163851,"jl. bangka raya no.23, rw.5, pela mampang, kota jakarta selatan",ChIJOVEJ60XxaS4RhRxK42wBrb8,1035.1071248868598
indomaret,4.3,115,-6.2249707,106.807775,"plaza bapindo kav 54-55 no 54-56, jl. jenderal sudirman, rt.5/rw.3, senayan, kota jakarta selatan",ChIJo4N061HxaS4RLUD76ouW53E,2052.1326855354023
indomaret mampang 7,4.1,207,-6.248328099999999,106.824029,"jl. mampang prapatan vii no.30, rt.1/rw.3, tegal parang, kota jakarta selatan",ChIJAxkWrNDzaS4RyfXBmyZF8qA,1328.4211304541195
indomaret,4,7,-6.223765999999999,106.826793,"jl. prof. dr. satrio no.63, rt.11/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJq-xEWLDzaS4RO4DqvG3IFd0,1503.0731966482822
